Copyright Notice
Copyright C2002 Mount Sinai Hospital, Toronto, Canada. All Rights Reserved.

Disclaimer
Permission to use, copy, and modify this document for educational, research, and not-for-profit purposes, without fee and without a signed licensing agreement, is hereby granted, provided that the above copyright notice, this paragraph and the following paragraphs appear in all copies, modifications, and distributions.

Contact Terry Donaghue, Technology Transfer & Industrial Liaison, Mount Sinai Hospital, & The Samuel Lunenfeld Research Institute, 600 University Avenue, Toronto, ON Canada M5G 1X5, Tel. (416) 586-8225, Fax (416) 586-3110, E-mail: donaghue@mshri.on.ca, for commercial licensing opportunities. 

IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite:

Breitkreutz, BJ., Stark, C., Tyers M. "The GRID: the General Repository for Interaction Datasets." Genome Biology 2003 4(3):R23

------------------------------------------------------------------------------------------------------------------------------

Brief description of the columns:

A.) INTERACTOR_A			(Unique ID for geneA)
B.) INTERACTOR_B			(Unique ID for geneB)
C.) ALIASES_FOR_A			(List of common names for geneA, separated by ';')
D.) ALIASES_FOR_B			(List of common names for geneB, separated by ';')
E.) EXPERIMENTAL_SYSTEM			(System in which the interaction was shown)
F.) SOURCE			(Author/s of the interaction)
G.) DIRECTION			(Direction is shown by default as going from GeneA to GeneB, if however the same source also demonstrates this interaction in the opposite direction then the "AB" will be replaced with a "BOTH")
H.) PUBMED_ID			(PubMed_ID of the paper)

------------------------------------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	DIRECTION	PUBMED_ID
YHR089C	YNL005C	;GAR1;	;MRP7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YPL043W	;GAR1;	;NOP4;NOP77;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YNL262W	;GAR1;	;POL2;DUN2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YGL049C	;GAR1;	;TIF4632;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YBL004W	;GAR1;	;UTP20;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YDR496C	;GAR1;	;PUF6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YKL014C	;GAR1;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR089C	YPL012W	;GAR1;	;RRP12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YER025W	;GCD1;TRA3;	;GCD11;SUI4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YGR083C	;GCD1;TRA3;	;GCD2;GCD12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YDR211W	;GCD1;TRA3;	;GCD6;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YOR260W	YLR291C	;GCD1;TRA3;	;GCD7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YKR026C	;GCD1;TRA3;	;GCN3;AAS2;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YOR260W	YLR044C	;GCD1;TRA3;	;PDC1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YJR007W	;GCD1;TRA3;	;SUI2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR260W	YPL237W	;GCD1;TRA3;	;SUI3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR211W	YER025W	;GCD6;	;GCD11;SUI4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR211W	YGR083C	;GCD6;	;GCD2;GCD12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR211W	YLR291C	;GCD6;	;GCD7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR211W	YKR026C	;GCD6;	;GCN3;AAS2;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YDR211W	YJR007W	;GCD6;	;SUI2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR211W	YPL237W	;GCD6;	;SUI3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YBL074C	;GCN2;AAS1;	;AAR2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YGR091W	;GCN2;AAS1;	;PRP31;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YPR178W	;GCN2;AAS1;	;PRP4;RNA4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YBR055C	;GCN2;AAS1;	;PRP6;RNA6;TSM7269;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YKL173W	;GCN2;AAS1;	;SNU114;GIN10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YOR308C	;GCN2;AAS1;	;SNU66;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR283C	YLR409C	;GCN2;AAS1;	;UTP21;	Affinity Precipitation	Gavin et al	AB	;11805826;
YFR009W	YGL195W	;GCN20;	;GCN1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YDL143W	;GCN3;AAS2;	;CCT4;TCP4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YGL206C	;GCN3;AAS2;	;CHC1;SWA5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YER025W	;GCN3;AAS2;	;GCD11;SUI4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YGR083C	;GCN3;AAS2;	;GCD2;GCD12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YLR291C	;GCN3;AAS2;	;GCD7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YHL032C	;GCN3;AAS2;	;GUT1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YKR026C	YPL237W	;GCN3;AAS2;	;SUI3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER136W	YFL038C	;GDI1;SEC19;	;YPT1;YP2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER136W	YER031C	;GDI1;SEC19;	;YPT31;YPT8;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YER136W	YKR014C	;GDI1;SEC19;	;YPT52;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR108W	YGL206C	;GGA2;	;CHC1;SWA5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR108W	YGL195W	;GGA2;	;GCN1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YHR108W	YIL094C	;GGA2;	;LYS12;LYS10;LYS11;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER122C	YDL145C	;GLO3;	;COP1;SEC33;RET1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER122C	YNL287W	;GLO3;	;SEC21;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER122C	YDR238C	;GLO3;	;SEC26;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER122C	YGL137W	;GLO3;	;SEC27;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGL142C	YML012W	;GPI10;	;ERV25;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YBR158W	;GTR2;	;AMN1;CST13;ICS4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YGR098C	;GTR2;	;ESP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YPL235W	;GTR2;	;RVB2;TIH2;TIP49B;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YGL207W	;GTR2;	;SPT16;CDC68;SSF1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YCR015C	;GTR2;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YGR163W	YGR203W	;GTR2;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YPL001W	YEL056W	;HAT1;	;HAT2;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YPL001W	YLL022C	;HAT1;	;HIF1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YPL001W	YMR309C	;HAT1;	;NIP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YPL001W	YOR361C	;HAT1;	;PRT1;CDC63;DNA26;	Affinity Precipitation	Gavin et al	AB	;11805826;
YPL001W	YBR079C	;HAT1;	;RPG1;TIF32;	Affinity Precipitation	Gavin et al	AB	;11805826;
YEL056W	YNL030W	;HAT2;	;HHF2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YLR175W	;HCA4;DBP4;ECM24;	;CBF5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YLR115W	;HCA4;DBP4;ECM24;	;CFT2;YDH1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YJR093C	;HCA4;DBP4;ECM24;	;FIP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YER133W	;HCA4;DBP4;ECM24;	;GLC7;CID1;DIS2;PP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YMR290C	;HCA4;DBP4;ECM24;	;HAS1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YDL014W	;HCA4;DBP4;ECM24;	;NOP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YOL041C	;HCA4;DBP4;ECM24;	;NOP12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YOR310C	;HCA4;DBP4;ECM24;	;NOP58;NOP5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YKR002W	;HCA4;DBP4;ECM24;	;PAP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YNL317W	;HCA4;DBP4;ECM24;	;PFS2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YAL043C	;HCA4;DBP4;ECM24;	;PTA1;FUN39;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YDR195W	;HCA4;DBP4;ECM24;	;REF2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YMR061W	;HCA4;DBP4;ECM24;	;RNA14;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YLR197W	;HCA4;DBP4;ECM24;	;SIK1;NOP56;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YCL037C	;HCA4;DBP4;ECM24;	;SRO9;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YGR156W	;HCA4;DBP4;ECM24;	;PTI1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YJL033W	YLR277C	;HCA4;DBP4;ECM24;	;YSH1;BRR5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL021W	YPR179C	;HDA1;	;PLO1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL021W	YDR295C	;HDA1;	;PLO2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YDL070W	;HHF1;	;BDF2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YGL190C	;HHF1;	;CDC55;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YGL019W	;HHF1;	;CKB1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YKR054C	;HHF1;	;DYN1;DHC1;PAC6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YMR176W	;HHF1;	;ECM5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YEL046C	;HHF1;	;GLY1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YPL001W	;HHF1;	;HAT1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YER065C	;HHF1;	;ICL1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YJR138W	;HHF1;	;IML1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YER110C	;HHF1;	;KAP123;YRB4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YNL132W	;HHF1;	;KRE33;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YMR021C	;HHF1;	;MAC1;CUA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YBR084W	;HHF1;	;MIS1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YOR188W	;HHF1;	;MSB1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YJR132W	;HHF1;	;NMD5;KAP119;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YGR240C	;HHF1;	;PFK1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YDR300C	;HHF1;	;PRO1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YGR170W	;HHF1;	;PSD2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YMR308C	;HHF1;	;PSE1;KAP121;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YPR010C	;HHF1;	;RPA135;RRN2;SRP3;RPA2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YPR110C	;HHF1;	;RPC40;RPC5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YDR303C	;HHF1;	;RSC3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YLR180W	;HHF1;	;SAM1;ETH10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YBL088C	;HHF1;	;TEL1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YER093C	;HHF1;	;TSC11;AVO3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YDL058W	;HHF1;	;USO1;INT1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YJL222W	;HHF1;	;VTH2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YBL004W	;HHF1;	;UTP20;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YFR006W	;HHF1;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YLR106C	;HHF1;	;MDN1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YLR239C	;HHF1;	;LIP2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YOL054W	;HHF1;	;PSH1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR009C	YPR077C	;HHF1;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YCL030C	YDL160C	;HIS4;	;DHH1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YCL030C	YLR044C	;HIS4;	;PDC1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YCL030C	YLR180W	;HIS4;	;SAM1;ETH10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YCL030C	YML124C	;HIS4;	;TUB3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL123W	YMR064W	;HRP1;NAB4;NAB5;	;AEP1;NCA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL123W	YMR282C	;HRP1;NAB4;NAB5;	;AEP2;ATP13;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL123W	YDR023W	;HRP1;NAB4;NAB5;	;SES1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL123W	YDR350C	;HRP1;NAB4;NAB5;	;TCM10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL123W	YDL060W	;HRP1;NAB4;NAB5;	;TSR1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YMR288W	YML049C	;HSH155;	;RSE1;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YBR272C	YPL001W	;HSM3;	;HAT1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YEL056W	;HSM3;	;HAT2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YNL030W	;HSM3;	;HHF2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YLL022C	;HSM3;	;HIF1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YFR052W	;HSM3;	;RPN12;NIN1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YER021W	;HSM3;	;RPN3;SUN2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YDL097C	;HSM3;	;RPN6;NAS4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YOR261C	;HSM3;	;RPN8;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YDR427W	;HSM3;	;RPN9;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YDL007W	;HSM3;	;RPT2;YHS4;YTA5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YDR394W	;HSM3;	;RPT3;YNT1;YTA2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YOR117W	;HSM3;	;RPT5;YTA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YGL048C	;HSM3;	;RPT6;CIM3;CRL3;SCB68;SUG1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR272C	YOL054W	;HSM3;	;PSH1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOL068C	YBR103W	;HST1;	;SIF2;EMB1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YPR175W	;HTB2;	;DPB2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YDR121W	;HTB2;	;DPB4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YBR245C	;HTB2;	;ISW1;SGN2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YOR304W	;HTB2;	;ISW2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YGL241W	;HTB2;	;KAP114;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YPL082C	;HTB2;	;MOT1;BTAF1;BUR3;LPF4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YKR048C	;HTB2;	;NAP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YMR091C	;HTB2;	;NPL6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YNL262W	;HTB2;	;POL2;DUN2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YPR010C	;HTB2;	;RPA135;RRN2;SRP3;RPA2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YPR190C	;HTB2;	;RPC82;RPC3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YOR116C	;HTB2;	;RPO31;RPC1;RPC160;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YIL126W	;HTB2;	;STH1;NPS1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YOL006C	;HTB2;	;TOP1;MAK1;MAK17;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YKR001C	;HTB2;	;VPS1;GRD1;LAM1;SPO15;VPL1;VPT26;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBL002W	YDR496C	;HTB2;	;PUF6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YBR211C	;IML3;MCM19;	;AME1;ARP100;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YDR254W	;IML3;MCM19;	;CHL4;CTF17;MCM17;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YPL018W	;IML3;MCM19;	;CTF19;MCM18;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YDR318W	;IML3;MCM19;	;MCM21;CTF5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YJR135C	;IML3;MCM19;	;MCM22;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YDR383C	;IML3;MCM19;	;NKP1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR107C	YLR381W	;IML3;MCM19;	;CTF3;CHL3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YMR267W	;IPP1;PPA1;	;PPA2;IPP2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YGL120C	;IPP1;PPA1;	;PRP43;JA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YLR371W	;IPP1;PPA1;	;ROM2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YLR425W	;IPP1;PPA1;	;TUS1;SOP10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YDL203C	;IPP1;PPA1;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR011C	YPL066W	;IPP1;PPA1;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YIL026C	YER110C	;IRR1;SCC3;	;KAP123;YRB4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YOR260W	;IST1;	;GCD1;TRA3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YGR083C	;IST1;	;GCD2;GCD12;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YDR211W	;IST1;	;GCD6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YLR291C	;IST1;	;GCD7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YKR026C	;IST1;	;GCN3;AAS2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YDR300C	;IST1;	;PRO1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YOL142W	;IST1;	;RRP40;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YGR095C	;IST1;	;RRP46;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YPL237W	;IST1;	;SUI3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YGR194C	;IST1;	;XKS1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YNL265C	YML071C	;IST1;	;COG8;DOR1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YFR013W	;ISW1;SGN2;	;IOC3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YGL133W	;ISW1;SGN2;	;ITC1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YPL082C	;ISW1;SGN2;	;MOT1;BTAF1;BUR3;LPF4;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YBR245C	YMR091C	;ISW1;SGN2;	;NPL6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YPR110C	;ISW1;SGN2;	;RPC40;RPC5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YLR357W	;ISW1;SGN2;	;RSC2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YKR008W	;ISW1;SGN2;	;RSC4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YCR052W	;ISW1;SGN2;	;RSC6;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YFR037C	;ISW1;SGN2;	;RSC8;SWH3;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YOL004W	;ISW1;SGN2;	;SIN3;CPE1;GAM2;RPD1;SDI1;SDS16;UME4;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YBR245C	YKR001C	;ISW1;SGN2;	;VPS1;GRD1;LAM1;SPO15;VPL1;VPT26;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YLR033W	;ISW1;SGN2;	;RSC58;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR245C	YOL017W	;ISW1;SGN2;	;ESC8;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR304W	YOL086C	;ISW2;	;ADH1;ADC1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YOR304W	YGL133W	;ISW2;	;ITC1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YMR012W	;KAP104;	;CLU1;TIF31;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YHL030W	;KAP104;	;ECM29;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YGL195W	;KAP104;	;GCN1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YOL123W	;KAP104;	;HRP1;NAB4;NAB5;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YER110C	;KAP104;	;KAP123;YRB4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YBR017C	YGL122C	;KAP104;	;NAB2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YIL125W	YDR148C	;KGD1;OGD1;	;KGD2;	Affinity Precipitation	Gavin et al	BOTH	;11805826;
YIL125W	YPL213W	;KGD1;OGD1;	;LEA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YIL125W	YFL018C	;KGD1;OGD1;	;LPD1;HPD1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YIL125W	YFR049W	;KGD1;OGD1;	;YMR31;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR148C	YMR012W	;KGD2;	;CLU1;TIF31;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR148C	YER110C	;KGD2;	;KAP123;YRB4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR148C	YFL018C	;KGD2;	;LPD1;HPD1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR148C	YLR180W	;KGD2;	;SAM1;ETH10;	Affinity Precipitation	Gavin et al	AB	;11805826;
YDR148C	YFR049W	;KGD2;	;YMR31;	Affinity Precipitation	Gavin et al	AB	;11805826;
YAR018C	YMR116C	;KIN3;FUN52;NPK1;	;ASC1;CPC2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YAR018C	YHR064C	;KIN3;FUN52;NPK1;	;SSZ1;PDR13;	Affinity Precipitation	Gavin et al	AB	;11805826;
YAR018C	YGR285C	;KIN3;FUN52;NPK1;	;ZUO1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER036C	YPR036W	NONE	;VMA13;CLS11;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER036C	YDR101C	NONE	;ARX1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER036C	YAL035W	NONE	;FUN12;yIF2;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YMR049C	;NSA2;	;ERB1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YMR290C	;NSA2;	;HAS1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YKL009W	;NSA2;	;MRT4;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YPL093W	;NSA2;	;NOG1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YNL002C	;NSA2;	;RLP7;RPL7;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YGR245C	;NSA2;	;SDA1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YCR072C	;NSA2;	NONE	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YDR101C	;NSA2;	;ARX1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YER006W	;NSA2;	;NUG1;	Affinity Precipitation	Gavin et al	AB	;11805826;
YER126C	YHR197W	;NSA2;	;IPI2;	Affinity Precipitation	Gavin et al	AB	;11805826;
